state,x,y
Isb,73,233
Attock,-31,200
Rawalpindi,68,188
Chakwal,-1,153
Jhelum,110,155
Gujrat,185,146
Sialkot,241,120
Narowal,303,101
Gujrawala,191,99
Hafizabad,116,82
Mandi Bahauldin,112,120
Sargodha,14,87
Khushab,-53,101
Mianwali,-136,149
Bhakar,-137,78
Sheikhupura,174,67
Lahore,223,39
Kasur,221,10
Nankana,154,48
Faisalabad,70,28
Toba Tek Singh,4,-1
Okara,139,-7
Sahiwal,54,-27
Pakpattan,99,-47
Bahwalngar,57,-101
Vehari,-23,-66
Khanewal,-66,-41
Multan,-139,-77
Lodhran,-72,-100
Bahwalpur,-111,-173
Rahim Yar Khan,-246,-174
Rajanpur,-330,-145
Dg Khan,-279,-30
Muzaffargarh,-227,-59
Layyah,-153,15
Jhang,-45,34
Chiniot,21,55
